"Type","De","À","Texte d'ancrage","Alt Text","Suivre","Cible","Relation","Code de statut","Statut","Type de chemin","Chemin du lien","Position du lien","Origine du lien"
"Iframe","https://www.mondevoyance.com/","https://modules.audiocb.com/planning/planningCb/index.php?id=3237&c=318b8ebb53e7c98c414256923383c2260b621e83","","","Vrai","","","200","OK","Absolu","//body/div[3]/div/main/div[2]/div/div/div[@class='row'][2]/div/div/div[@id='iframe-bloc_voyance-privee']/noscript/iframe","Contenu","HTML"
"Iframe","https://www.mondevoyance.com/planning/","https://modules.audiocb.com/planning/planningCb/index.php?id=3237&c=318b8ebb53e7c98c414256923383c2260b621e83","","","Vrai","","","200","OK","Absolu","//body/div[3]/div/main/div[4]/div/div/div/div/div/div/div[@class='row'][2]/div/div/div[@id='iframe-bloc_voyance-privee']/noscript/iframe","Contenu","HTML"
"Iframe","https://www.mondevoyance.com/voyance-amour/","https://modules.audiocb.com/planning/planningCb/index.php?id=3237&c=318b8ebb53e7c98c414256923383c2260b621e83","","","Vrai","","","200","OK","Absolu","//body/div[3]/div/main/div[2]/div/div/div[@class='row'][2]/div/div/div[@id='iframe-bloc_voyance-privee']/noscript/iframe","Contenu","HTML"
"Iframe","https://www.mondevoyance.com/numerologie/","https://modules.audiocb.com/planning/planningCb/index.php?id=3237&c=318b8ebb53e7c98c414256923383c2260b621e83","","","Vrai","","","200","OK","Absolu","//body/div[3]/div/main/div[2]/div/div/div[@class='row'][2]/div/div/div[@id='iframe-bloc_voyance-privee']/noscript/iframe","Contenu","HTML"
"Iframe","https://www.mondevoyance.com/voyance-en-ligne/","https://modules.audiocb.com/planning/planningCb/index.php?id=3237&c=318b8ebb53e7c98c414256923383c2260b621e83","","","Vrai","","","200","OK","Absolu","//body/div[3]/div/main/div[4]/div/div/div/div[@id='iframe-bloc_voyance-privee']/noscript/iframe","Contenu","HTML"
"Iframe","https://www.mondevoyance.com/voyance-privee/","https://modules.audiocb.com/planning/planningCb/index.php?id=3237&c=318b8ebb53e7c98c414256923383c2260b621e83","","","Vrai","","","200","OK","Absolu","//body/div[3]/div/main/div/div/div/div[4]/div/div[@class='row'][2]/div/noscript/iframe","Contenu","HTML"
"Iframe","https://www.mondevoyance.com/voyance-serieuse/","https://modules.audiocb.com/planning/planningCb/index.php?id=3237&c=318b8ebb53e7c98c414256923383c2260b621e83","","","Vrai","","","200","OK","Absolu","//body/div[3]/div/main/div[10]/div/div/noscript/iframe","Contenu","HTML"
"Iframe","https://www.mondevoyance.com/astrologie/","https://modules.audiocb.com/planning/planningCb/index.php?id=3237&c=318b8ebb53e7c98c414256923383c2260b621e83","","","Vrai","","","200","OK","Absolu","//body/div[3]/div/main/div[2]/div/div/div[@class='row'][2]/div/div/div[@id='iframe-bloc_voyance-privee']/noscript/iframe","Contenu","HTML"
"Iframe","https://www.mondevoyance.com/voyance-telephone/sans-attente/","https://modules.audiocb.com/planning/planningCb/index.php?id=3237&c=318b8ebb53e7c98c414256923383c2260b621e83","","","Vrai","","","200","OK","Absolu","//body/div[3]/div/main/div[4]/div/div/div/div[@id='iframe-bloc_voyance-privee']/noscript/iframe","Contenu","HTML"
"Iframe","https://www.mondevoyance.com/voyance-privee/en-prive/","https://modules.audiocb.com/planning/planningCb/index.php?id=3237&c=318b8ebb53e7c98c414256923383c2260b621e83","","","Vrai","","","200","OK","Absolu","//body/div[3]/div/main/div[5]/div/div/noscript/iframe","Contenu","HTML"
